"IN";"Antiphona ad Introïtum";"Antienne d'Introït";"Entrance antiphon"
;"S. Thomae, apostoli";"St Thomas, apôtre";
;"S. Elisabeth Lusitaniae";"Ste Elisabeth du Portugal";
;"S. Antonii Mariae Zaccaria, presbyteri";"St Antoine-Marie Zaccaria, prêtre";
;"S. Mariae Goretti, virginis et martyris";"Ste Maria Goretti, vierge et martyre";
;"Ss. Augustini Zhao Rong, presbyteri et sociorum, martyrum.";"St Augustin Zhao Rong, prêtre et ses compagnons martyrs";
;"S. Benedicti, abbatis";"St Benoît, abbé";
;"S. Henrici";"St Henri ";
;"S. Camilli de Lellis, presbyteri";"St Camille de Lellis, prêtre";
;"S. Bonaventurae, episcopi et Ecclesiae doctoris";"St Bonaventure, évêque et docteur de l'Église";
;"B. Mariae Virginis de Monte Carmelo";"Bienheureuse Vierge Marie du Mont Carmel";
;"S. Apollinaris, episcopi et martyris";"St Apollinaire, évêque et martyr";
;"S. Laurentii de Brindisi, presbyteri et Ecclesiae doctoris";"St Laurent de Brindisi, prêtre et docteur de l' Église";
;"S. Mariae Magdalenae";"Ste Marie-Madeleine";
;"S. Birgittae, religiosae";"Ste Brigitte, religieuse";
;"S. Sarbelii Makhluf, presbyteri";"St Charbel Maklouf, prêtre";
;"S. Iacobi, apostoli";"St Jacques, apôtre";
;"Ss. Ioachim et Annae, parentum B. Mariae Virginis";"Sts Joachim et Anne, parents de la Bienheureuse Vierge Marie";
;"S. Marthae";"Ste Marthe";
;"S. Petri Chrysologi, episcopi et Ecclesiae doctoris";"St Pierre Chrysologue, évêque et docteur de  l'Église";
;"S. Ignatii de Loyola, presbyteri";"St Ignace de Loyola, prêtre";
;"S. Alfonsi Mariae de Liguori, episcopi et Ecclesiae doctoris";"St Alphonse-Marie de Liguori, évêque et docteur de l'Église";
;"S. Eusebii Vercellensis, episcopi";"St Eusèbe de Verceil, évêque";
;"S. Petri Iuliani Eymard, presbyteri";"St Pierre Julien Eymard, prêtre";
;"S. Ioannis Mariae Vianney, presbyteri";"St Jean-Marie Vianney, prêtre";
;"In Dedicatione basilicae S. Mariae";"Dédicace de la Basilique Ste Marie.";
;"IN TRANSFIGURATIONE DOMINI";"TRANSFIGURATION DU SEIGNEUR";
;"Ss. Xysti, papae, et sociorum, martyrum";"St Sixte II, pape, et ses compagnons, martyrs";
;"S. Caietani, presbyteri";"St Gaétan, prêtre";
;"S. Dominici, presbyteri";"St Dominique, prêtre";
;"S. Teresiae Benedictae a Cruce, virginis et martyris";"Ste Thérèse-Bénédicte de la Croix, vierge et martyre.";
;"S. Laurentii, diaconi et martyris";"St Laurent, diacre et martyr";
;"S. Clarae, virginis";"Ste Claire, vierge";
;"S. Ioannae Franciscae de Chantal, religiosae";"Ste Jeanne-Françoise de Chantal, religieuse";
;"Ss. Pontiani, papae, et Hippolyti, presbyteri, martyrum";"Sts Pontien, pape, et Hippolyte, prêtre, martyrs";
;"S. Maximiliani Mariae Kolbe, presbyteri et martyris";"St Maximilien-Marie Kolbe, prêtre et martyr";
;"IN ASSUMPTIONE B. MARIAE VIRGINIS";"ASSOMPTION DE LA BIENHEUREUSE VIERGE MARIE";
;"S. Stephani Hungariae";"St Étienne de Hongrie";
;"S. Ioannis Eudes, presbyteri";"St Jean Eudes, prêtre";
;"S. Bernardi, abbatis et Ecclesiae doctoris";"St Bernard, abbé et docteur de l'Église";
;"S. Pii X, papae";"St Pie X, pape";
;"B. Mariae Virginis Reginae";"Bienheureuse Vierge Marie, reine.";
;"S. Rosae de Lima, virginis";"Ste Rose de Lima";
;"S. Bartholomaei, apostoli";"St Barthélemy, apôtre";
;"S. Ludovici";"St Louis";
;"S. Ioseph de Calasanz, presbyteri";"St Joseph Calasanz, prêtre";
;"S. Monicae";"Ste Monique";
;"S. Augustini, episcopi et Ecclesiae doctoris";"St Augustin, évêque et docteur de l'Église";
;"In Passione S. Ioannis Baptistae, martyris";"Passion de St Jean-Baptiste, martyr";
;"S. Gregorii Magni, papae et Ecclesiae doctoris";"St Grégoire le Grand, pape et docteur de l'Eglise";
;"In Nativitate B. Mariae Virginis";"Nativité de la bienheureuse Vierge Marie";
;"S. Petri Claver, presbyteri";"St Pierre Claver, prêtre";
;"Ss.mi Nominis Mariae";"Très Saint Nom de Marie";
;"S. Ioannis Chrysostomi, episcopi et Ecclesiae doctoris";"St Jean Chrysostome, évêque et docteur de l'Église";
;"IN EXALTATIONE SANCTAE CRUCIS";"EXALTATION DE LA SAINTE CROIX";
;"B. Mariae Virginis Perdolentis";"Bienheureuse Marie Vierge des Douleurs";
;"Ss. Cornelii, papae, et Cypriani, episcopi, martyrum";"St Corneille, pape et St Cyprien, évêque, martyrs";
;"S. Roberti Bellarmino, episcopi et Ecclesiae doctoris";"St Robert Bellarmin, évêque et docteur de l'Église";
;"S. Ianuarii, episcopi et martyris";"St Janvier, évêque et martyr";
;"Ss. Andreae Kim Tae-gon et Pauli Chong Ha-sang et sociorum, martyrum";"Sts André Kim Taegon, prêtre, Pauli Chong Ha-sang et leurs compagnons martyrs";
;"S. Matthaei, apostoli et evangelistae";"St Matthieu, apôtre et évangéliste";
;"S. Pio de Petrelcina, presbyteri";"St Pio de Pietrelcina, prêtre";
;"Ss. Cosmae et Damiani, martyrum";"Sts Côme et Damien, martyrs";
;"S. Vincentii de Paul, presbyteri";"St Vincent de Paul, prêtre";
;"S. Venceslai, martyris";"St Venceslas, martyr";
;"S. Laurentii Ruiz et sociorum, martyrum";"St Laurent Ruiz et ses compagnons martyrs";
