"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang"
8;"b";;7;"St Sixte, pape, et ses compagnons, martyrs";"Mémoire facultative";;12
8;"c";;7;"St Gaétan, prêtre";"Mémoire facultative";;12
8;"c";;8;"St Dominique, prêtre";"Mémoire obligatoire";"Blanc";10
8;"d";;9;"Ste Edith Stein, vierge et martyre.";"Mémoire facultative";"Rouge";8
8;"e";;10;"St Laurent, diacre et martyr";"Fête";"Rouge";7
8;"f";;11;"Ste Claire, vierge";"Mémoire obligatoire";"Blanc";10
8;"g";;12;"Ste Jeanne-Françoise de Chantal, religieuse";"Mémoire facultative";;12
8;"A";;13;"Ss Pontien, pape, et Hippolyte, prêtre, martyrs";"Mémoire facultative";;12
8;"b";;14;"St Maximilien-Marie Kolbe, prêtre et martyr";"Mémoire obligatoire";"Rouge";10
8;"c";;15;"ASSOMPTION DE LA BIENHEUREUSE VIERGE MARIE";"Solennité";"Blanc";3
8;"d";;16;"St Étienne de Hongrie";"Mémoire facultative";;12
8;"e";;17;;;;
8;"f";;18;;;;
8;"g";;19;"St Jean Eudes, prêtre";"Mémoire facultative";;12
8;"A";;20;"St Bernard, abbé et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
8;"b";;21;"St Pie X, pape";"Mémoire obligatoire";"Blanc";10
8;"c";;22;"Bienheureuse Vierge Marie, reine.";"Mémoire obligatoire";"Blanc";10
8;"d";;23;"Ste Rose de Lima";"Mémoire facultative";;12
8;"e";;24;"St Barthélemy, apôtre";"Fête";"Rouge";7
8;"f";;25;"St Louis";"Mémoire facultative";;12
8;"f";;25;"St Joseph Calasanz, prêtre";"Mémoire facultative";;12
8;"g";;26;;;;12
8;"A";;27;"Ste Monique";"Mémoire obligatoire";"Blanc";10
8;"b";;28;"St Augustin, évêque et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
8;"c";;29;"Passion de St Jean-Baptiste";"Mémoire obligatoire";"Rouge";10
8;"d";;30;;;;
8;"e";;31;;;;
9;"f";;1;;;;
9;"g";;2;;;;
9;"A";;3;"St Grégoire le Grand, pape et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
9;"b";;4;;;;
9;"c";;5;;;;
9;"d";;6;;;;
9;"e";;7;;;;
9;"f";;8;"Nativité de la bienheureuse Vierge Marie";"Fête";"Blanc";7
9;"g";;9;"St Pierre Claver, prêtre";"Mémoire facultative";;12
9;"A";;10;;;;
9;"b";;11;;;;
9;"c";;12;"Très Saint Nom de Marie";"Mémoire facultative";;12
9;"d";;13;"St Jean Chrysostome, évêque et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
9;"e";;14;"Exaltation de la sainte Croix";"Fête";"Rouge";5
9;"f";;15;"Bienheureuse Marie Vierge des Douleurs";"Mémoire obligatoire";"Blanc";10
9;"g";;16;"St Corneille, pape et St Cyprien, évêque, martyrs";"Mémoire obligatoire";"Rouge";10
9;"A";;17;"St Robert Bellarmin, évêque et docteur de l'Église";"Mémoire facultative";;12
9;"b";;18;;;;
9;"c";;19;"St Janvier, évêque et martyr";"Mémoire facultative";;12
9;"d";;20;"St André Kim Taegon, Pauli Chong Ha-sang et leurs compagnons martyrs";"Mémoire obligatoire";"Rouge";10
9;"e";;21;"St Matthieu, apôtre et évangéliste";"Fête";"Rouge";7
9;"f";;22;"St Maurice et ses compagnons martyrs     ";"Mémoire facultative";;12
9;"g";;23;"St Pio de Pietrelcina, prêtre";"Mémoire obligatoire";;10
9;"A";;24;;;;
9;"b";;25;;;;
9;"c";;26;"Sts Côme et Damien, martyrs";"Mémoire facultative";;12
9;"d";;27;"St Vincent de Paul, prêtre";"Mémoire obligatoire";"Blanc";10
9;"e";;28;"St Venceslas, martyr";"Mémoire facultative";;12
9;"e";;28;"St Laurent Ruiz et ses compagnons martyrs";"Mémoire facultative";;12
9;"f";;29;"St Michel, St Gabriel et St Raphaël, archanges";"Fête";"Blanc";7
9;"g";;30;"St Jérôme, prêtre et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
10;"A";;1;"Ste Thérèse de l’Enfant-Jésus, vierge et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
10;"b";;2;"Saints Anges Gardiens";"Mémoire obligatoire";"Blanc";10
10;"c";;3;;;;
